page_id;page_title;page_ns;revision_id;timestamp;contributor_id;contributor_name;bytes
696;|Hilo:Rod Link/@comment-8227768-20130525121057/@comment-5952074-20130526025846|;1201;1179;2013-05-26T02:58:46Z;5952074;|Rod Link|;149
694;|Hilo:Rod Link/@comment-8227768-20130525121057/@comment-7426511-20130526021637|;1201;1176;2013-05-26T02:16:37Z;7426511;|Carlos A A S|;63
1220;|Hilo:Rod Link/@comment-8227768-20130525121057/@comment-8227768-20130811092333|;1201;2000;2013-08-11T09:23:33Z;8227768;|Marcos000000000|;6
554;|Hilo:Rod Link/@comment-8776898-20130520002243|;1201;915;2013-05-20T00:22:44Z;8776898;|Link Hylian2012|;171
554;|Hilo:Rod Link/@comment-8776898-20130520002243|;1201;1014;2013-05-21T06:58:56Z;22439;|Wikia|;171
555;|Hilo:Rod Link/@comment-8776898-20130520002243/@comment-9826118-20130520004847|;1201;916;2013-05-20T00:48:47Z;5952074;|Rod Link|;83
555;|Hilo:Rod Link/@comment-8776898-20130520002243/@comment-9826118-20130520004847|;1201;1016;2013-05-21T06:58:56Z;22439;|Wikia|;83
651;|Hilo:Rod Link/@comment-8776898-20130524012757|;1201;1089;2013-05-24T01:27:57Z;8776898;|Link Hylian2012|;245
653;|Hilo:Rod Link/@comment-8776898-20130524012757/@comment-5952074-20130524031946|;1201;1093;2013-05-24T03:19:46Z;5952074;|Rod Link|;84
964;|Hilo:Rod Link/@comment-8776898-20130616041942|;1201;1601;2013-06-16T04:19:43Z;8776898;|Link Hylian2012|;254
965;|Hilo:Rod Link/@comment-8776898-20130616041942/@comment-5952074-20130616153335|;1201;1603;2013-06-16T15:33:35Z;5952074;|Rod Link|;25
1006;|Hilo:Rod Link/@comment-8776898-20130621022405|;1201;1652;2013-06-21T02:24:05Z;8776898;|Link Hylian2012|;284
1010;|Hilo:Rod Link/@comment-8776898-20130621022405/@comment-5952074-20130621184856|;1201;1657;2013-06-21T18:48:57Z;5952074;|Rod Link|;133
1010;|Hilo:Rod Link/@comment-8776898-20130621022405/@comment-5952074-20130621184856|;1201;1662;2013-06-21T19:13:13Z;5952074;|Rod Link|;160
1014;|Hilo:Rod Link/@comment-8776898-20130621022405/@comment-5952074-20130621232614|;1201;1666;2013-06-21T23:26:15Z;5952074;|Rod Link|;45
1013;|Hilo:Rod Link/@comment-8776898-20130621022405/@comment-8776898-20130621211621|;1201;1664;2013-06-21T21:16:21Z;8776898;|Link Hylian2012|;56
1099;|Hilo:Rod Link/@comment-8776898-20130706043208|;1201;1788;2013-07-06T04:32:08Z;8776898;|Link Hylian2012|;526
1102;|Hilo:Rod Link/@comment-8776898-20130706043208/@comment-5952074-20130706145014|;1201;1792;2013-07-06T14:50:14Z;5952074;|Rod Link|;144
1626;|Hilo:Skup/@comment-22439-20150721202917|;1201;2757;2015-07-21T20:29:17Z;22439;|Wikia|;630
1528;|Hilo:Sporeunai/@comment-22439-20131218205409|;1201;2594;2013-12-18T20:54:09Z;22439;|Wikia|;206
1515;|Hilo:Sr.Shenanigans/@comment-22439-20131215150935|;1201;2554;2013-12-15T15:09:35Z;22439;|Wikia|;218
1262;|Hilo:TLOZLINK/@comment-10020000-20130506004751|;1201;2081;2013-08-25T16:15:18Z;22439;|Wikia|;68
1263;|Hilo:TLOZLINK/@comment-10020000-20130506004751/@comment-10020000-20130511020653|;1201;2083;2013-08-25T16:15:18Z;22439;|Wikia|;103
1264;|Hilo:TLOZLINK/@comment-10020000-20130506004751/@comment-16487266-20130510172941|;1201;2085;2013-08-25T16:15:18Z;22439;|Wikia|;101
1265;|Hilo:TLOZLINK/@comment-10020000-20130512191036|;1201;2087;2013-08-25T16:15:18Z;22439;|Wikia|;68
1266;|Hilo:TLOZLINK/@comment-10020000-20130512191036/@comment-16487266-20130512203409|;1201;2089;2013-08-25T16:15:18Z;22439;|Wikia|;101
